file,natoms,formula,pubchem_cid,pubchem_url
geometries/natoms_69_cid_2494.sdf,69,C27H37N3O2,2494,https://pubchem.ncbi.nlm.nih.gov/compound/2494
geometries/natoms_86_cid_2497.sdf,86,C34H48N4+2,2497,https://pubchem.ncbi.nlm.nih.gov/compound/2497
geometries/natoms_70_cid_2512.sdf,70,C26H37N5O2,2512,https://pubchem.ncbi.nlm.nih.gov/compound/2512
geometries/natoms_71_cid_2520.sdf,71,C27H38N2O4,2520,https://pubchem.ncbi.nlm.nih.gov/compound/2520
geometries/natoms_71_cid_2521.sdf,71,C30H26N2O13,2521,https://pubchem.ncbi.nlm.nih.gov/compound/2521
geometries/natoms_79_cid_2540.sdf,79,C33H34N6O6,2540,https://pubchem.ncbi.nlm.nih.gov/compound/2540
geometries/natoms_71_cid_2580.sdf,71,C28H38N4O,2580,https://pubchem.ncbi.nlm.nih.gov/compound/2580
geometries/natoms_60_cid_2663.sdf,60,C20H33N3O4,2663,https://pubchem.ncbi.nlm.nih.gov/compound/2663
geometries/natoms_72_cid_2665.sdf,72,C28H38N2O4,2665,https://pubchem.ncbi.nlm.nih.gov/compound/2665
geometries/natoms_65_cid_2674.sdf,65,C29H26O10,2674,https://pubchem.ncbi.nlm.nih.gov/compound/2674
geometries/natoms_62_cid_2681.sdf,62,C19H42N+,2681,https://pubchem.ncbi.nlm.nih.gov/compound/2681
geometries/natoms_65_cid_2691.sdf,65,C23H29N7O6,2691,https://pubchem.ncbi.nlm.nih.gov/compound/2691
geometries/natoms_77_cid_2694.sdf,77,C27H39N5O6,2694,https://pubchem.ncbi.nlm.nih.gov/compound/2694
geometries/natoms_84_cid_2695.sdf,84,C29H43N5O7,2695,https://pubchem.ncbi.nlm.nih.gov/compound/2695
geometries/natoms_76_cid_2696.sdf,76,C27H39N5O5,2696,https://pubchem.ncbi.nlm.nih.gov/compound/2696
geometries/natoms_75_cid_2697.sdf,75,C27H38N4O6,2697,https://pubchem.ncbi.nlm.nih.gov/compound/2697
geometries/natoms_80_cid_2698.sdf,80,C28H41N5O6,2698,https://pubchem.ncbi.nlm.nih.gov/compound/2698
geometries/natoms_74_cid_2699.sdf,74,C26H37N5O6,2699,https://pubchem.ncbi.nlm.nih.gov/compound/2699
geometries/natoms_76_cid_2706.sdf,76,C28H38N4O6,2706,https://pubchem.ncbi.nlm.nih.gov/compound/2706
geometries/natoms_64_cid_2752.sdf,64,C27H28N2O7,2752,https://pubchem.ncbi.nlm.nih.gov/compound/2752
geometries/natoms_70_cid_2787.sdf,70,C28H36O6,2787,https://pubchem.ncbi.nlm.nih.gov/compound/2787
geometries/natoms_68_cid_2827.sdf,68,C32H30N2O4,2827,https://pubchem.ncbi.nlm.nih.gov/compound/2827
geometries/natoms_96_cid_2837.sdf,96,C35H49N5O7,2837,https://pubchem.ncbi.nlm.nih.gov/compound/2837
geometries/natoms_93_cid_2838.sdf,93,C34H49N5O5,2838,https://pubchem.ncbi.nlm.nih.gov/compound/2838
geometries/natoms_93_cid_2839.sdf,93,C34H47N5O7,2839,https://pubchem.ncbi.nlm.nih.gov/compound/2839
